Start Index|Event Name|Start Time|Elapsed Time|Workbook|Worksheet|Dashboard|DataSource Name|CacheHit|Command|Action Name|Command Name|DataEngine API|Dialog Name|Task Name|Job Name|Processor Time Inclusive|Processor Time Exclusive|User Time Inclusive|User Time Exclusive|ContextId|ThreadID|Depth|Path|Level0|Level1|Level2|Level3|Level4|Level5|Level6|Level7|Level8|Level9|Level10|Level11|Level12|Level13|Level14|Level15|Level16|Level17|Level18|Level19|Session ID|Request ID|URL|XML Size|XML Text
54|JobManager|1560.688806700|0.011150600||||||||||||View thumbnail job|0.011|0.000|0.000|0.000|5210|14648|2|RenderActive.JobManager|RenderActive|JobManager|||||||||||||||||||||||
55|async-task.task-job|1561.572795300|0.003133700||||||||tabui:record-perf||||VisualWidget.ClearHoverActionsJob|0.003|0.003|0.000|0.000|5213|14648|12|JobManager.async-task.task-job.commands-controller.invoke-command.JobManager.async-task.task-job.performance.JobManager.async-task.task-job|JobManager|async-task|task-job|commands-controller|invoke-command|JobManager|async-task|task-job|performance|JobManager|async-task|task-job|||||||||||||
56|JobManager|1561.572782300|0.003149200||||||||tabui:record-perf||||VisualWidget.ClearHoverActionsJob|0.003|0.000|0.000|0.000|5213|14648|10|JobManager.async-task.task-job.commands-controller.invoke-command.JobManager.async-task.task-job.performance.JobManager|JobManager|async-task|task-job|commands-controller|invoke-command|JobManager|async-task|task-job|performance|JobManager|||||||||||||||
57|Action|1564.685520400|0.000208400|initial||||||AutoBrushingAction|tabdoc:select-all||||RecordPerformanceJob|0.000|0.000|0.000|0.000|5183|14648|13|JobManager.async-task.task-job.commands-controller.invoke-command.JobManager.async-task.task-job.performance.commands-controller.invoke-command.Action.Action|JobManager|async-task|task-job|commands-controller|invoke-command|JobManager|async-task|task-job|performance|commands-controller|invoke-command|Action|Action||||||||||||
58|Action|1564.685445600|0.000326200|initial||||||OnSelectAction|tabdoc:select-all||||RecordPerformanceJob|0.000|0.000|0.000|0.000|5183|14648|12|JobManager.async-task.task-job.commands-controller.invoke-command.JobManager.async-task.task-job.performance.commands-controller.invoke-command.Action|JobManager|async-task|task-job|commands-controller|invoke-command|JobManager|async-task|task-job|performance|commands-controller|invoke-command|Action|||||||||||||
59|Action|1564.687625900|0.000173500|initial||||||AutoBrushingAction|tabdoc:select-all||||RecordPerformanceJob|0.000|0.000|0.000|0.000|5183|14648|13|JobManager.async-task.task-job.commands-controller.invoke-command.JobManager.async-task.task-job.performance.commands-controller.invoke-command.Action.Action|JobManager|async-task|task-job|commands-controller|invoke-command|JobManager|async-task|task-job|performance|commands-controller|invoke-command|Action|Action||||||||||||
60|Action|1564.687521100|0.000307900|initial||||||OnSelectAction|tabdoc:select-all||||RecordPerformanceJob|0.000|0.000|0.000|0.000|5183|14648|12|JobManager.async-task.task-job.commands-controller.invoke-command.JobManager.async-task.task-job.performance.commands-controller.invoke-command.Action|JobManager|async-task|task-job|commands-controller|invoke-command|JobManager|async-task|task-job|performance|commands-controller|invoke-command|Action|||||||||||||
61|commands-controller.invoke-command|1564.683466400|0.004791200||||||||tabdoc:select-all||||RecordPerformanceJob|0.004|0.004|0.000|0.000|5183|14648|11|JobManager.async-task.task-job.commands-controller.invoke-command.JobManager.async-task.task-job.performance.commands-controller.invoke-command|JobManager|async-task|task-job|commands-controller|invoke-command|JobManager|async-task|task-job|performance|commands-controller|invoke-command||||||||||||||
62|async-task.task-tbb|1564.693834100|0.000820600|||||||||||||0.000|0.000|0.000|0.000|5215|8768|4|RenderActive.Task.async-task.task-tbb|RenderActive|Task|async-task|task-tbb|||||||||||||||||||||
63|Task|1564.693805400|0.000854900|||||||||||||0.000|0.000|0.000|0.000|5215|8768|2|RenderActive.Task|RenderActive|Task|||||||||||||||||||||||
64|RenderActive|1564.692942500|0.022525100|||||||||||||0.022|0.022|0.000|0.000|||1|RenderActive|RenderActive||||||||||||||||||||||||
65|Workspace_UpdateThumbnailUI|1564.791985400|0.003469900||||||||||||View thumbnail job|0.003|0.003|0.000|0.000|5219|14648|5|RenderActive.JobManager.async-task.task-job.Workspace_UpdateThumbnailUI|RenderActive|JobManager|async-task|task-job|Workspace_UpdateThumbnailUI||||||||||||||||||||
66|async-task.task-job|1564.786386100|0.009619100||||||||||||View thumbnail job|0.009|0.006|0.000|0.000|5219|14648|4|RenderActive.JobManager.async-task.task-job|RenderActive|JobManager|async-task|task-job|||||||||||||||||||||
67|JobManager|1564.786369900|0.009638100||||||||||||View thumbnail job|0.009|0.000|0.000|0.000|5219|14648|2|RenderActive.JobManager|RenderActive|JobManager|||||||||||||||||||||||
68|UnpivotTables|1564.796819200|0.000015500||||||||tabui:record-perf||||RecordPerformanceJob|0.000|0.000|0.000|0.000|5183|14648|12|JobManager.async-task.task-job.commands-controller.invoke-command.JobManager.async-task.task-job.performance.Workspace_DoViewStatisticsChanged.SummaryStatisticsBuilder.UnpivotTables|JobManager|async-task|task-job|commands-controller|invoke-command|JobManager|async-task|task-job|performance|Workspace_DoViewStatisticsChanged|SummaryStatisticsBuilder|UnpivotTables|||||||||||||
69|TablesOuterJoin|1564.796856200|0.000002400||||||||tabui:record-perf||||RecordPerformanceJob|0.000|0.000|0.000|0.000|5183|14648|13|JobManager.async-task.task-job.commands-controller.invoke-command.JobManager.async-task.task-job.performance.Workspace_DoViewStatisticsChanged.SummaryStatisticsBuilder.JoinTables.TablesOuterJoin|JobManager|async-task|task-job|commands-controller|invoke-command|JobManager|async-task|task-job|performance|Workspace_DoViewStatisticsChanged|SummaryStatisticsBuilder|JoinTables|TablesOuterJoin||||||||||||
70|JoinTables|1564.796838900|0.000026900||||||||tabui:record-perf||||RecordPerformanceJob|0.000|0.000|0.000|0.000|5183|14648|12|JobManager.async-task.task-job.commands-controller.invoke-command.JobManager.async-task.task-job.performance.Workspace_DoViewStatisticsChanged.SummaryStatisticsBuilder.JoinTables|JobManager|async-task|task-job|commands-controller|invoke-command|JobManager|async-task|task-job|performance|Workspace_DoViewStatisticsChanged|SummaryStatisticsBuilder|JoinTables|||||||||||||
71|ComputeSummary|1564.796933000|0.000951300||||||||tabui:record-perf||||RecordPerformanceJob|0.000|0.000|0.000|0.000|5183|14648|12|JobManager.async-task.task-job.commands-controller.invoke-command.JobManager.async-task.task-job.performance.Workspace_DoViewStatisticsChanged.SummaryStatisticsBuilder.ComputeSummary|JobManager|async-task|task-job|commands-controller|invoke-command|JobManager|async-task|task-job|performance|Workspace_DoViewStatisticsChanged|SummaryStatisticsBuilder|ComputeSummary|||||||||||||
